name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
LF11	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LF12	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LF13	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LF21	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LF22	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LF31	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LF32	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LF33	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LF34	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LF35	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
ZF04	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LF41	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LF42	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LC41	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LF51	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LF52	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LC31	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LC32	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LC21	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LC22	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LC51	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LC52	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LC53	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LP34	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LP33	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LP32	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LP42	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LC42	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LC43	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LP22	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LP21	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
ZP02	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LC33	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LC34	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LC35	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LP11	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LC24	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LC25	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
ZC03	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LC11	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LC12	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LT41	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LT42	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LT43	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LT44	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LT31	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LT33	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LT34	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LT21	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LT22	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LT23	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LT24	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LT11	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LT13	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LF14	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LF15	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LF16	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LF17	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LF24	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LF26	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LT45	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LT46	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LT47	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LT48	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LT35	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LT37	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LT38	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LT25	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LT26	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LT27	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LT28	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LT15	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LT17	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LT18	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
LC71	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
