onset	duration	section_num	subject_num
29.4968	0.5	14	sub-19
30.4967	0.5	14	sub-19
31.4969	0.5	14	sub-19
32.497	0.5	14	sub-19
33.4972	0.5	14	sub-19
34.4972	0.5	14	sub-19
35.4973	0.5	14	sub-19
36.4972	0.5	14	sub-19
37.4966	0.5	14	sub-19
38.4972	0.5	14	sub-19
39.497	0.5	14	sub-19
40.4969	0.5	14	sub-19
41.4973	0.5	14	sub-19
42.4972	0.5	14	sub-19
43.4973	0.5	14	sub-19
44.4973	0.5	14	sub-19
45.4972	0.5	14	sub-19
46.4972	0.5	14	sub-19
47.497	0.5	14	sub-19
48.4969	0.5	14	sub-19
49.4973	0.5	14	sub-19
50.4973	0.5	14	sub-19
51.497	0.5	14	sub-19
52.4972	0.5	14	sub-19
53.4972	0.5	14	sub-19
54.497	0.5	14	sub-19
55.5156	0.5	14	sub-19
56.5139	0.5	14	sub-19
57.5137	0.5	14	sub-19
58.5139	0.5	14	sub-19
59.5132	0.5	14	sub-19
60.5138	0.5	14	sub-19
61.5138	0.5	14	sub-19
62.5135	0.5	14	sub-19
63.5139	0.5	14	sub-19
64.5139	0.5	14	sub-19
91.0471	0.5	19	sub-19
92.047	0.5	19	sub-19
93.0466	0.5	19	sub-19
94.047	0.5	19	sub-19
95.047	0.5	19	sub-19
96.0469	0.5	19	sub-19
97.0465	0.5	19	sub-19
98.047	0.5	19	sub-19
99.0472	0.5	19	sub-19
100.047	0.5	19	sub-19
101.0465	0.5	19	sub-19
102.0465	0.5	19	sub-19
103.047	0.5	19	sub-19
104.0466	0.5	19	sub-19
105.047	0.5	19	sub-19
106.0463	0.5	19	sub-19
107.047	0.5	19	sub-19
108.0465	0.5	19	sub-19
109.047	0.5	19	sub-19
110.047	0.5	19	sub-19
111.0466	0.5	19	sub-19
112.047	0.5	19	sub-19
113.0462	0.5	19	sub-19
114.0466	0.5	19	sub-19
115.0466	0.5	19	sub-19
116.0466	0.5	19	sub-19
117.0469	0.5	19	sub-19
118.0466	0.5	19	sub-19
119.0464	0.5	19	sub-19
120.0469	0.5	19	sub-19
121.0469	0.5	19	sub-19
122.0469	0.5	19	sub-19
123.0466	0.5	19	sub-19
124.0464	0.5	19	sub-19
149.4795	0.5	3	sub-19
150.48	0.5	3	sub-19
151.4801	0.5	3	sub-19
