onset	duration	section_num	subject_num
29.532	0.5	6	sub-20
30.5313	0.5	6	sub-20
31.5313	0.5	6	sub-20
32.5314	0.5	6	sub-20
33.5313	0.5	6	sub-20
34.5311	0.5	6	sub-20
35.5314	0.5	6	sub-20
36.5315	0.5	6	sub-20
37.5311	0.5	6	sub-20
38.5316	0.5	6	sub-20
39.5315	0.5	6	sub-20
40.531	0.5	6	sub-20
41.531	0.5	6	sub-20
42.5315	0.5	6	sub-20
43.5315	0.5	6	sub-20
44.5314	0.5	6	sub-20
45.5314	0.5	6	sub-20
46.5315	0.5	6	sub-20
47.5314	0.5	6	sub-20
48.5314	0.5	6	sub-20
49.5315	0.5	6	sub-20
50.5307	0.5	6	sub-20
51.5314	0.5	6	sub-20
52.5314	0.5	6	sub-20
53.5314	0.5	6	sub-20
54.5314	0.5	6	sub-20
55.5314	0.5	6	sub-20
56.5315	0.5	6	sub-20
57.531	0.5	6	sub-20
58.5314	0.5	6	sub-20
59.5314	0.5	6	sub-20
60.5313	0.5	6	sub-20
61.531	0.5	6	sub-20
62.5314	0.5	6	sub-20
63.5314	0.5	6	sub-20
64.5308	0.5	6	sub-20
65.5312	0.5	6	sub-20
66.5315	0.5	6	sub-20
67.5314	0.5	6	sub-20
68.531	0.5	6	sub-20
69.531	0.5	6	sub-20
70.5309	0.5	6	sub-20
71.5309	0.5	6	sub-20
72.531	0.5	6	sub-20
73.5311	0.5	6	sub-20
74.5312	0.5	6	sub-20
75.5311	0.5	6	sub-20
76.5309	0.5	6	sub-20
77.5313	0.5	6	sub-20
78.531	0.5	6	sub-20
79.5313	0.5	6	sub-20
80.5313	0.5	6	sub-20
81.5314	0.5	6	sub-20
82.5314	0.5	6	sub-20
83.5312	0.5	6	sub-20
84.5478	0.5	6	sub-20
85.5478	0.5	6	sub-20
86.5477	0.5	6	sub-20
87.5478	0.5	6	sub-20
88.5478	0.5	6	sub-20
89.5479	0.5	6	sub-20
90.5479	0.5	6	sub-20
91.5476	0.5	6	sub-20
92.5478	0.5	6	sub-20
93.5476	0.5	6	sub-20
94.5479	0.5	6	sub-20
95.5479	0.5	6	sub-20
96.5479	0.5	6	sub-20
97.5476	0.5	6	sub-20
98.548	0.5	6	sub-20
99.5474	0.5	6	sub-20
100.5479	0.5	6	sub-20
101.5478	0.5	6	sub-20
102.5479	0.5	6	sub-20
103.5479	0.5	6	sub-20
104.5478	0.5	6	sub-20
105.5472	0.5	6	sub-20
106.5474	0.5	6	sub-20
107.5476	0.5	6	sub-20
108.5479	0.5	6	sub-20
109.5478	0.5	6	sub-20
110.5478	0.5	6	sub-20
111.5474	0.5	6	sub-20
112.5477	0.5	6	sub-20
113.5473	0.5	6	sub-20
114.5472	0.5	6	sub-20
115.5477	0.5	6	sub-20
116.5477	0.5	6	sub-20
117.5476	0.5	6	sub-20
118.5474	0.5	6	sub-20
119.5475	0.5	6	sub-20
120.5478	0.5	6	sub-20
121.547	0.5	6	sub-20
122.5473	0.5	6	sub-20
123.5475	0.5	6	sub-20
124.5474	0.5	6	sub-20
125.5476	0.5	6	sub-20
126.5475	0.5	6	sub-20
127.5478	0.5	6	sub-20
128.5474	0.5	6	sub-20
129.5476	0.5	6	sub-20
130.5477	0.5	6	sub-20
131.5472	0.5	6	sub-20
132.5477	0.5	6	sub-20
133.5477	0.5	6	sub-20
134.5474	0.5	6	sub-20
135.5474	0.5	6	sub-20
136.5477	0.5	6	sub-20
137.5475	0.5	6	sub-20
138.5473	0.5	6	sub-20
139.5477	0.5	6	sub-20
140.5476	0.5	6	sub-20
141.5474	0.5	6	sub-20
142.5469	0.5	6	sub-20
143.5477	0.5	6	sub-20
144.5477	0.5	6	sub-20
145.5472	0.5	6	sub-20
146.5477	0.5	6	sub-20
147.5477	0.5	6	sub-20
148.5477	0.5	6	sub-20
149.5468	0.5	6	sub-20
150.5476	0.5	6	sub-20
151.5477	0.5	6	sub-20
152.5476	0.5	6	sub-20
153.5477	0.5	6	sub-20
154.5476	0.5	6	sub-20
155.5476	0.5	6	sub-20
156.5473	0.5	6	sub-20
157.5469	0.5	6	sub-20
158.5476	0.5	6	sub-20
159.5473	0.5	6	sub-20
160.5474	0.5	6	sub-20
161.5473	0.5	6	sub-20
162.5475	0.5	6	sub-20
163.5474	0.5	6	sub-20
164.5476	0.5	6	sub-20
165.5471	0.5	6	sub-20
166.5473	0.5	6	sub-20
167.5475	0.5	6	sub-20
168.5476	0.5	6	sub-20
169.5475	0.5	6	sub-20
170.5474	0.5	6	sub-20
171.5475	0.5	6	sub-20
172.5475	0.5	6	sub-20
173.5475	0.5	6	sub-20
174.5474	0.5	6	sub-20
175.5469	0.5	6	sub-20
176.5475	0.5	6	sub-20
177.5475	0.5	6	sub-20
178.5475	0.5	6	sub-20
179.5482	0.5	6	sub-20
223.714	0.5	13	sub-20
224.7135	0.5	13	sub-20
225.7138	0.5	13	sub-20
226.7133	0.5	13	sub-20
227.7131	0.5	13	sub-20
228.7137	0.5	13	sub-20
229.7131	0.5	13	sub-20
230.714	0.5	13	sub-20
231.7323	0.5	13	sub-20
232.7306	0.5	13	sub-20
233.7306	0.5	13	sub-20
234.7306	0.5	13	sub-20
235.7306	0.5	13	sub-20
236.7298	0.5	13	sub-20
237.7305	0.5	13	sub-20
238.7302	0.5	13	sub-20
239.7303	0.5	13	sub-20
240.7306	0.5	13	sub-20
241.7305	0.5	13	sub-20
242.7306	0.5	13	sub-20
243.7299	0.5	13	sub-20
244.7297	0.5	13	sub-20
245.7303	0.5	13	sub-20
246.7305	0.5	13	sub-20
247.7306	0.5	13	sub-20
248.7305	0.5	13	sub-20
249.7306	0.5	13	sub-20
250.7305	0.5	13	sub-20
251.7306	0.5	13	sub-20
252.7304	0.5	13	sub-20
253.7305	0.5	13	sub-20
254.7303	0.5	13	sub-20
255.7305	0.5	13	sub-20
256.7305	0.5	13	sub-20
257.73	0.5	13	sub-20
258.7298	0.5	13	sub-20
259.7304	0.5	13	sub-20
260.7299	0.5	13	sub-20
261.7302	0.5	13	sub-20
262.7304	0.5	13	sub-20
263.7305	0.5	13	sub-20
264.7302	0.5	13	sub-20
265.7303	0.5	13	sub-20
266.73	0.5	13	sub-20
267.7299	0.5	13	sub-20
268.7304	0.5	13	sub-20
269.7304	0.5	13	sub-20
270.7304	0.5	13	sub-20
271.7304	0.5	13	sub-20
272.7296	0.5	13	sub-20
273.7302	0.5	13	sub-20
274.7304	0.5	13	sub-20
275.7304	0.5	13	sub-20
276.7303	0.5	13	sub-20
277.7296	0.5	13	sub-20
278.73	0.5	13	sub-20
279.7303	0.5	13	sub-20
280.7308	0.5	13	sub-20
281.7303	0.5	13	sub-20
282.7296	0.5	13	sub-20
283.7304	0.5	13	sub-20
284.7303	0.5	13	sub-20
285.7303	0.5	13	sub-20
286.7303	0.5	13	sub-20
287.7303	0.5	13	sub-20
288.7298	0.5	13	sub-20
289.7303	0.5	13	sub-20
290.7301	0.5	13	sub-20
291.7303	0.5	13	sub-20
292.7303	0.5	13	sub-20
293.7303	0.5	13	sub-20
294.7298	0.5	13	sub-20
295.7297	0.5	13	sub-20
296.7303	0.5	13	sub-20
297.7303	0.5	13	sub-20
298.7302	0.5	13	sub-20
299.7302	0.5	13	sub-20
300.7294	0.5	13	sub-20
301.73	0.5	13	sub-20
302.7299	0.5	13	sub-20
303.7296	0.5	13	sub-20
304.7301	0.5	13	sub-20
305.7299	0.5	13	sub-20
306.7303	0.5	13	sub-20
307.7298	0.5	13	sub-20
308.7302	0.5	13	sub-20
309.7302	0.5	13	sub-20
310.7299	0.5	13	sub-20
311.7297	0.5	13	sub-20
312.7302	0.5	13	sub-20
313.7297	0.5	13	sub-20
314.7303	0.5	13	sub-20
315.7298	0.5	13	sub-20
316.7301	0.5	13	sub-20
317.7302	0.5	13	sub-20
318.7302	0.5	13	sub-20
319.7301	0.5	13	sub-20
320.7301	0.5	13	sub-20
321.7298	0.5	13	sub-20
322.7301	0.5	13	sub-20
323.7301	0.5	13	sub-20
324.7301	0.5	13	sub-20
325.7299	0.5	13	sub-20
326.7298	0.5	13	sub-20
327.7302	0.5	13	sub-20
328.7301	0.5	13	sub-20
329.7293	0.5	13	sub-20
330.7301	0.5	13	sub-20
331.7298	0.5	13	sub-20
332.7299	0.5	13	sub-20
333.7301	0.5	13	sub-20
334.7301	0.5	13	sub-20
335.7296	0.5	13	sub-20
359.8467	0.5	4	sub-20
360.8464	0.5	4	sub-20
361.8457	0.5	4	sub-20
362.8458	0.5	4	sub-20
363.846	0.5	4	sub-20
364.8464	0.5	4	sub-20
365.8457	0.5	4	sub-20
366.8465	0.5	4	sub-20
367.8465	0.5	4	sub-20
368.8464	0.5	4	sub-20
369.8465	0.5	4	sub-20
370.8462	0.5	4	sub-20
371.8463	0.5	4	sub-20
372.8466	0.5	4	sub-20
373.8461	0.5	4	sub-20
374.8465	0.5	4	sub-20
375.8466	0.5	4	sub-20
376.8461	0.5	4	sub-20
377.8461	0.5	4	sub-20
378.8463	0.5	4	sub-20
379.8461	0.5	4	sub-20
