onset	duration	section_num	subject_num
30.9866	0.5	20	sub-32
31.9865	0.5	20	sub-32
32.9866	0.5	20	sub-32
33.9858	0.5	20	sub-32
34.9865	0.5	20	sub-32
35.9863	0.5	20	sub-32
36.9864	0.5	20	sub-32
37.9863	0.5	20	sub-32
38.9865	0.5	20	sub-32
39.9865	0.5	20	sub-32
40.9865	0.5	20	sub-32
41.9865	0.5	20	sub-32
42.9865	0.5	20	sub-32
43.9866	0.5	20	sub-32
44.9866	0.5	20	sub-32
45.9866	0.5	20	sub-32
46.9858	0.5	20	sub-32
47.9866	0.5	20	sub-32
48.9866	0.5	20	sub-32
49.9865	0.5	20	sub-32
50.9862	0.5	20	sub-32
51.9865	0.5	20	sub-32
52.9862	0.5	20	sub-32
53.9863	0.5	20	sub-32
54.9863	0.5	20	sub-32
55.9863	0.5	20	sub-32
56.9865	0.5	20	sub-32
57.9863	0.5	20	sub-32
58.9866	0.5	20	sub-32
59.9866	0.5	20	sub-32
60.9865	0.5	20	sub-32
61.9866	0.5	20	sub-32
62.9866	0.5	20	sub-32
63.9866	0.5	20	sub-32
64.9871	0.5	20	sub-32
65.9865	0.5	20	sub-32
66.9866	0.5	20	sub-32
68.0047	0.5	20	sub-32
69.0032	0.5	20	sub-32
70.0033	0.5	20	sub-32
71.0029	0.5	20	sub-32
72.0031	0.5	20	sub-32
73.0033	0.5	20	sub-32
74.0028	0.5	20	sub-32
75.0024	0.5	20	sub-32
76.003	0.5	20	sub-32
77.0031	0.5	20	sub-32
78.0032	0.5	20	sub-32
79.0032	0.5	20	sub-32
80.0024	0.5	20	sub-32
81.0032	0.5	20	sub-32
82.0032	0.5	20	sub-32
83.0027	0.5	20	sub-32
84.0032	0.5	20	sub-32
85.0032	0.5	20	sub-32
86.0027	0.5	20	sub-32
87.0026	0.5	20	sub-32
88.003	0.5	20	sub-32
89.0032	0.5	20	sub-32
90.0023	0.5	20	sub-32
91.0028	0.5	20	sub-32
92.0031	0.5	20	sub-32
93.0031	0.5	20	sub-32
94.0027	0.5	20	sub-32
95.0031	0.5	20	sub-32
96.0026	0.5	20	sub-32
97.0031	0.5	20	sub-32
98.0027	0.5	20	sub-32
99.0031	0.5	20	sub-32
100.0028	0.5	20	sub-32
101.0027	0.5	20	sub-32
102.0031	0.5	20	sub-32
103.0032	0.5	20	sub-32
104.0029	0.5	20	sub-32
105.0029	0.5	20	sub-32
106.0029	0.5	20	sub-32
107.003	0.5	20	sub-32
108.003	0.5	20	sub-32
109.003	0.5	20	sub-32
110.003	0.5	20	sub-32
111.0024	0.5	20	sub-32
112.0026	0.5	20	sub-32
113.0031	0.5	20	sub-32
114.003	0.5	20	sub-32
115.003	0.5	20	sub-32
116.003	0.5	20	sub-32
117.003	0.5	20	sub-32
140.4353	0.5	6	sub-32
141.4359	0.5	6	sub-32
142.436	0.5	6	sub-32
143.4359	0.5	6	sub-32
144.4361	0.5	6	sub-32
145.4359	0.5	6	sub-32
146.436	0.5	6	sub-32
147.4359	0.5	6	sub-32
148.4356	0.5	6	sub-32
149.4362	0.5	6	sub-32
150.4361	0.5	6	sub-32
151.4358	0.5	6	sub-32
152.4358	0.5	6	sub-32
153.4362	0.5	6	sub-32
154.4358	0.5	6	sub-32
155.4358	0.5	6	sub-32
156.4361	0.5	6	sub-32
157.4357	0.5	6	sub-32
158.4361	0.5	6	sub-32
159.4356	0.5	6	sub-32
160.436	0.5	6	sub-32
161.4355	0.5	6	sub-32
162.4359	0.5	6	sub-32
163.4359	0.5	6	sub-32
164.436	0.5	6	sub-32
165.4359	0.5	6	sub-32
166.436	0.5	6	sub-32
167.4359	0.5	6	sub-32
168.4356	0.5	6	sub-32
169.4357	0.5	6	sub-32
170.4361	0.5	6	sub-32
171.436	0.5	6	sub-32
172.4357	0.5	6	sub-32
173.4357	0.5	6	sub-32
174.4358	0.5	6	sub-32
175.4355	0.5	6	sub-32
176.4358	0.5	6	sub-32
177.4355	0.5	6	sub-32
178.4358	0.5	6	sub-32
179.4359	0.5	6	sub-32
180.4359	0.5	6	sub-32
181.4359	0.5	6	sub-32
182.436	0.5	6	sub-32
183.4356	0.5	6	sub-32
184.4353	0.5	6	sub-32
185.436	0.5	6	sub-32
186.4359	0.5	6	sub-32
187.4359	0.5	6	sub-32
188.4359	0.5	6	sub-32
189.4355	0.5	6	sub-32
190.4358	0.5	6	sub-32
191.4357	0.5	6	sub-32
192.4358	0.5	6	sub-32
193.4358	0.5	6	sub-32
194.4359	0.5	6	sub-32
195.4359	0.5	6	sub-32
196.4355	0.5	6	sub-32
197.4359	0.5	6	sub-32
198.4358	0.5	6	sub-32
199.4355	0.5	6	sub-32
200.4359	0.5	6	sub-32
201.4359	0.5	6	sub-32
202.4358	0.5	6	sub-32
203.4358	0.5	6	sub-32
204.4358	0.5	6	sub-32
205.4354	0.5	6	sub-32
206.4358	0.5	6	sub-32
207.4359	0.5	6	sub-32
208.4354	0.5	6	sub-32
209.4356	0.5	6	sub-32
210.4356	0.5	6	sub-32
211.4358	0.5	6	sub-32
212.4357	0.5	6	sub-32
213.4358	0.5	6	sub-32
214.4355	0.5	6	sub-32
215.4358	0.5	6	sub-32
216.4351	0.5	6	sub-32
217.4351	0.5	6	sub-32
218.4357	0.5	6	sub-32
219.4355	0.5	6	sub-32
220.4357	0.5	6	sub-32
221.4358	0.5	6	sub-32
222.4351	0.5	6	sub-32
223.4351	0.5	6	sub-32
224.4354	0.5	6	sub-32
225.435	0.5	6	sub-32
226.4357	0.5	6	sub-32
