participant_id	age	sex	comprehension_questions	total_quiz_questions
sub-01	24	M	80	20
sub-02	23	M	90	20
sub-03	19	M	80	20
sub-04	31	M	80	20
sub-06	31	M	75	20
sub-07	21	M	85	20
sub-08	19	F	100	20
sub-09	20	M	75	20
sub-10	18	F	80	20
sub-11	21	F	80	20
sub-14	24	M	85	20
sub-16	21	M	80	20
sub-17	21	F	80	20
sub-18	22	M	80	20
sub-19	23	M	95	20
sub-20	22	F	85	20
sub-21	22	M	70	20
sub-22	21	M	85	20
sub-23	20	M	80	20
sub-24	21	M	70	20
sub-25	23	F	80	20
sub-27	22	M	90	20
sub-28	19	F	80	20
sub-30	22	M	85	20
sub-31	20	M	80	20
sub-32	22	M	75	20
sub-33	22	F	80	20
sub-34	20	F	80	20
sub-35	19	F	90	20
sub-36	20	F	65	20
sub-37	22	M	95	20
sub-38	22	F	75	20
sub-39	22	M	65	20
sub-40	19	F	70	20
sub-41	22	M	75	20
