onset	duration	section_num	subject_num
28.7845	0.5	4	sub-11
29.7847	0.5	4	sub-11
30.7848	0.5	4	sub-11
31.7843	0.5	4	sub-11
32.7843	0.5	4	sub-11
33.7844	0.5	4	sub-11
34.7848	0.5	4	sub-11
35.7847	0.5	4	sub-11
36.7846	0.5	4	sub-11
37.7847	0.5	4	sub-11
38.7845	0.5	4	sub-11
39.7846	0.5	4	sub-11
40.7844	0.5	4	sub-11
41.7847	0.5	4	sub-11
42.7844	0.5	4	sub-11
43.7846	0.5	4	sub-11
44.7847	0.5	4	sub-11
45.7843	0.5	4	sub-11
46.7847	0.5	4	sub-11
47.7847	0.5	4	sub-11
48.7846	0.5	4	sub-11
49.7848	0.5	4	sub-11
50.7845	0.5	4	sub-11
51.7841	0.5	4	sub-11
52.7847	0.5	4	sub-11
53.7846	0.5	4	sub-11
54.7846	0.5	4	sub-11
55.7845	0.5	4	sub-11
56.7846	0.5	4	sub-11
57.7843	0.5	4	sub-11
58.7841	0.5	4	sub-11
59.7839	0.5	4	sub-11
60.7846	0.5	4	sub-11
61.7845	0.5	4	sub-11
62.7845	0.5	4	sub-11
63.7839	0.5	4	sub-11
64.7845	0.5	4	sub-11
65.7843	0.5	4	sub-11
66.7842	0.5	4	sub-11
67.784	0.5	4	sub-11
68.784	0.5	4	sub-11
69.7845	0.5	4	sub-11
70.7838	0.5	4	sub-11
71.7845	0.5	4	sub-11
72.784	0.5	4	sub-11
73.7841	0.5	4	sub-11
74.7845	0.5	4	sub-11
75.7845	0.5	4	sub-11
76.784	0.5	4	sub-11
77.7846	0.5	4	sub-11
78.7845	0.5	4	sub-11
79.7845	0.5	4	sub-11
103.7862	0.5	10	sub-11
104.7844	0.5	10	sub-11
105.7839	0.5	10	sub-11
106.7838	0.5	10	sub-11
107.7844	0.5	10	sub-11
108.7844	0.5	10	sub-11
109.7837	0.5	10	sub-11
110.8031	0.5	10	sub-11
111.8007	0.5	10	sub-11
112.8003	0.5	10	sub-11
113.8012	0.5	10	sub-11
114.8004	0.5	10	sub-11
115.8009	0.5	10	sub-11
116.8008	0.5	10	sub-11
117.8008	0.5	10	sub-11
118.8003	0.5	10	sub-11
119.8007	0.5	10	sub-11
120.8008	0.5	10	sub-11
121.8003	0.5	10	sub-11
122.801	0.5	10	sub-11
123.801	0.5	10	sub-11
124.801	0.5	10	sub-11
125.8006	0.5	10	sub-11
149.3508	0.5	15	sub-11
150.3504	0.5	15	sub-11
151.3505	0.5	15	sub-11
152.3503	0.5	15	sub-11
153.3503	0.5	15	sub-11
154.3509	0.5	15	sub-11
155.351	0.5	15	sub-11
156.3502	0.5	15	sub-11
157.35	0.5	15	sub-11
158.3507	0.5	15	sub-11
159.3507	0.5	15	sub-11
160.3507	0.5	15	sub-11
161.3507	0.5	15	sub-11
162.351	0.5	15	sub-11
163.3507	0.5	15	sub-11
164.3508	0.5	15	sub-11
187.9506	0.5	2	sub-11
188.9499	0.5	2	sub-11
189.95	0.5	2	sub-11
190.9502	0.5	2	sub-11
191.9507	0.5	2	sub-11
192.9504	0.5	2	sub-11
193.9508	0.5	2	sub-11
194.9508	0.5	2	sub-11
195.9502	0.5	2	sub-11
196.9504	0.5	2	sub-11
197.9507	0.5	2	sub-11
198.9507	0.5	2	sub-11
199.9508	0.5	2	sub-11
200.9507	0.5	2	sub-11
201.9503	0.5	2	sub-11
202.9508	0.5	2	sub-11
203.9505	0.5	2	sub-11
204.9504	0.5	2	sub-11
205.9507	0.5	2	sub-11
206.9506	0.5	2	sub-11
207.9507	0.5	2	sub-11
208.9505	0.5	2	sub-11
209.9499	0.5	2	sub-11
210.9501	0.5	2	sub-11
211.9506	0.5	2	sub-11
212.9506	0.5	2	sub-11
213.95	0.5	2	sub-11
214.9504	0.5	2	sub-11
215.95	0.5	2	sub-11
216.9497	0.5	2	sub-11
217.9505	0.5	2	sub-11
218.9502	0.5	2	sub-11
219.9504	0.5	2	sub-11
220.9497	0.5	2	sub-11
221.9505	0.5	2	sub-11
222.9506	0.5	2	sub-11
